ID,Title,Instructors,Rating,Level,URL,Duration,Description,Practice Questions,Is Paid,Price (VND)
6211553,LATEST GitHub Foundations Certification Practice Exam 2025,Cloud Guru,5.0,Beginner Level,https://www.udemy.com/course/github-foundations-certification-practice-exam/,191 questions,"Gain a solid understanding of GitHub’s core functionalities, including repository management, version control, and collaboration tools.; Get ready for the GitHub Foundations Certification with a comprehensive set of practice questions that mirror the actual exam format and difficulty.; Learn to tackle a variety of scenarios and challenges that you might encounter in real-world GitHub usage.",191,True,"1,480,000"
5655826,Microsoft Azure Security Engineer Associate Practice Test,A,5.0,All Levels,https://www.udemy.com/course/microsoft-azure-security-engineer-associate-practice-test/,398 questions,"Security Engineers:  Individuals responsible for implementing security controls and maintaining the security posture of Azure environments.; Security Administrators:  Professionals tasked with configuring and managing security policies and procedures in Azure.; Security Analysts:  Those involved in monitoring security alerts, responding to incidents, and conducting security assessments in Azure.",398,True,"1,640,000"
5186510,"Oracle Certified Associate, Java SE 8 (new format) - Part 2",Tran,5.0,All Levels,https://www.udemy.com/course/oracle-certified-associate-java-se-8-new-format-part-2/,263 questions,Confidence to pass the OCA exam in 1st attempt; Know the pattern of tricky questions asked in OCA exam; Conceptual understanding of Java fundamentals through clear explanation of each and every question,263,True,"1,010,000"
6519439,8051 Microcontroller LED Movable Display with Assembly Lang.,Emenwa; George; Juliet,5.0,All Levels,https://www.udemy.com/course/8051-microcontroller-led-movable-display-with-assembly-lang/,3.5 total hours,Sourcing Components & Setting Up Your 48x8 LED Matrix Display; Understand the fundamentals of the 8051 microcontroller and how it drives an LED display with assembly language code; Organize and save your work systematically within MIDE-8051 and Proteus environments.,0,True,"149,000"
6361025,Tests for ServiceNow Cloud Provisioning & Governance CIS-CPG,Bee,5.0,All Levels,https://www.udemy.com/course/tests-for-servicenow-cloud-provisioning-governance-cis-cpg/,390 questions,"Master core concepts of cloud provisioning and governance within the ServiceNow platform through practical test scenarios; Evaluate your knowledge of cloud resource management, including provisioning, optimization, and lifecycle management; Test your understanding of governance frameworks, compliance requirements, and security controls in cloud environments",390,True,"279,000"
6339283,CompTIA Security+ (SY0-701) Practice Exams Set 2 - 2025,Gururo,5.0,Beginner Level,https://www.udemy.com/course/comptia-security-sy0-701-mock-tests/,1074 questions,"Understand and master all 5 domains of the CompTIA Security+ (SY0-701) exam.; Develop familiarity with 1100+ unique, high-quality questions across 6 practice tests.; Experience realistic, timed full-length practice exams to improve time management.",1074,True,"1,360,000"
6148997,AZ-204 Mastery: Comprehensive Practice Exams + Explanations,Kai,5.0,All Levels,https://www.udemy.com/course/az-204-mastery-comprehensive-practice-exams-explanations/,738 questions,Confidence Building: Enhance your confidence and reduce test anxiety by taking practice exams.; Comprehensive Review: Use detailed explanations from practice tests to solidify understanding.; Identify Weak Areas: Determine topics where additional study is needed.,738,True,"1,190,000"
6326785,Real Data Science Interviews  FAANG companies and  Startups,Daniel,5.0,All Levels,https://www.udemy.com/course/real-data-science-interviews-faang-companies-and-startups/,4 total hours,"Work with real Data Science Interview Questions, not made up ones.; See the different types of interview questions that can be asked.; Full Python, SQL, and Machine Learning Review/Preparation for interviews",0,True,"149,000"
6106131,Agile Project Management Using Scrum and Lean,SeaportAi,5.0,Beginner Level,https://www.udemy.com/course/agileprojectmanagement/,1.5 total hours,What is agile; What is agile manifesto; What are agile principles,0,True,"519,000"
5748222,TIBCO BusinessWorks For Beginners,VEN,5.0,All Levels,https://www.udemy.com/course/tibco-businessworks-real-world-scenario-based-mcq-test/,56 questions,Evaluate your understanding of TIBCO BusinessWorks across various domains.; Apply your knowledge to solve real-world integration and deployment challenges.; Assess your readiness for TIBCO BusinessWorks certification exams.,56,True,"509,000"
5227256,AWS Certified Solution Architect-Associate Practice Tests,Vijay,5.0,All Levels,https://www.udemy.com/course/practice-test-aws-certified-solution-architect-associate-new/,147 questions,390 exam-style questions with detailed answers and explanations to reinforce your understanding of the core concepts; Test report that highlights the areas you need to focus on; Regular updates to reflect the latest exam content,147,True,"1,850,000"
6171113,Preparation for AI Testing - Practice Tests\Explanations,Hamza,5.0,All Levels,https://www.udemy.com/course/preparation-for-ai-testing-practice-testsexplanations/,882 questions,"Enhanced Learning: Strengthen your understanding of core concepts through repeated practice.; Immediate Feedback: Receive instant feedback on your performance, helping you understand and learn from mistakes.; Strengthen Memory: Enhance your learning and recall through practice tests, aiding in long-term retention.",882,True,"1,760,000"
6103325,OpenAI API - Tool calls: İş ilanları ile sohbet etme projesi,Şahin,5.0,Beginner Level,https://www.udemy.com/course/openai-api-tool-calls-is-ilanlar-ile-sohbet-etme-projesi/,6 total hours,OpenAI yapay zeka modelini kullanabilmek için API ile istek göndermeyi öğren.; Tool calls özelliğine (Fonksiyon seçimi ve ilgili işlemler) hakim ol.; OpenAI API ile destekli chatbot mantığını kavra.,0,True,"979,000"
6156765,ServiceNow Admin: Challenge Your Skills with Practice,Lou,5.0,All Levels,https://www.udemy.com/course/servicenow-admin-challenge-your-skills-with-practice/,270 questions,"Comprehensive Review: Use practice tests to review and reinforce complex topics.; Gain a solid understanding of the core concepts, architecture, and functionalities of the IIBA ECBA Exam; Feedback and Improement: offer immediate feedback. You can reiew correct and incorrect answers, understand reasoning, and learn from mistakes. Use this feedback",270,True,"539,000"
6613981,Microsoft Azure AI Engineer Associate AI-102 First Try 2025,EduCert,5.0,All Levels,https://www.udemy.com/course/microsoft-azure-ai-engineer-associate-ai-102/,243 questions,"Become a Microsoft Certified Azure AI Engineer Associate; Design and implement an Azure AI solution using Azure AI services, Azure AI Search, and Azure Open AI; Get better job prospects and new career opportunities",243,True,"409,000"
6574393,XR App Development for Meta Quest (MetaXR All-in-One SDK),Sparkle,5.0,Beginner Level,https://www.udemy.com/course/xr-app-development-for-meta-quest-metaxr-all-in-one-sdk/,4.5 total hours,You will learn the basics of how to use Unity.; You will learn how to develop XR applications for Meta Quest.; You will learn how to create a 3D game using Starter Assets.,0,True,"509,000"
751094,The Complete Networking Fundamentals Course. Your CCNA start,David,4.685369,Beginner Level,https://www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/,77.5 total hours,This course is for anyone who wants to attain the Cisco CCNA certification; This course will prepare you for the CCNA 200-301 certification exam; Describe network fundamentals and build simple LANs,0,True,"369,000"
